S;I;N;S->I;I->N;S->N;N->S;a;b;c;e;R0
8983.0;28.0;30989.0;25;22;7138;7212;9.939409E-5;0.78571427;0.79461205;0.0;0.0
9032.0;31.0;30937.0;24;26;7211;7142;8.571673E-5;0.83870965;0.79838353;0.0;0.0
8939.0;29.0;31032.0;22;25;7150;7199;8.486639E-5;0.86206895;0.7998658;0.0;0.0
8966.0;26.0;31008.0;18;21;7176;7207;7.7214776E-5;0.8076923;0.8003569;0.0;0.0
8979.0;23.0;30998.0;13;18;7185;7163;6.294881E-5;0.7826087;0.80020046;0.0;0.0
8944.0;18.0;31038.0;15;17;7138;7242;9.317233E-5;0.9444444;0.7980769;0.0;0.0
9033.0;16.0;30951.0;17;14;7212;7258;1.17624266E-4;0.875;0.7984058;0.0;0.0
9062.0;19.0;30919.0;18;13;7231;7165;1.04542974E-4;0.68421054;0.79794747;0.0;0.0
8978.0;24.0;30998.0;22;22;7169;7260;1.0210143E-4;0.9166667;0.79850745;0.0;0.0
9047.0;24.0;30929.0;22;18;7204;7264;1.0132272E-4;0.75;0.79628605;0.0;0.0
9085.0;28.0;30887.0;24;22;7213;7244;9.434704E-5;0.78571427;0.7939461;0.0;0.0
9092.0;30.0;30878.0;22;20;7252;7223;8.065699E-5;0.6666667;0.7976243;0.0;0.0
9041.0;32.0;30927.0;24;28;7191;7385;8.295543E-5;0.875;0.7953766;0.0;0.0
9211.0;28.0;30761.0;21;25;7339;7356;8.142438E-5;0.89285713;0.79676473;0.0;0.0
9207.0;24.0;30769.0;21;19;7349;7358;9.503638E-5;0.7916667;0.79819703;0.0;0.0
9195.0;26.0;30779.0;20;24;7314;7314;8.3657505E-5;0.9230769;0.7954323;0.0;0.0
9175.0;22.0;30803.0;20;17;7299;7342;9.9083474E-5;0.77272725;0.79553133;0.0;0.0
9198.0;25.0;30777.0;16;20;7361;7372;6.958035E-5;0.8;0.80028266;0.0;0.0
9193.0;21.0;30786.0;17;16;7270;7437;8.805872E-5;0.7619048;0.7908191;0.0;0.0
9343.0;22.0;30635.0;25;20;7367;7385;1.2162727E-4;0.90909094;0.7885048;0.0;0.0
9336.0;27.0;30637.0;27;24;7453;7485;1.0711225E-4;0.8888889;0.7983076;0.0;0.0
9341.0;30.0;30629.0;24;26;7438;7378;8.564394E-5;0.8666667;0.7962745;0.0;0.0
9257.0;28.0;30715.0;20;25;7337;7454;7.716168E-5;0.89285713;0.79258937;0.0;0.0
9354.0;23.0;30623.0;17;21;7540;7473;7.9017576E-5;0.9130435;0.8060723;0.0;0.0
9270.0;19.0;30711.0;17;15;7422;7563;9.6519616E-5;0.7894737;0.80064726;0.0;0.0
9394.0;21.0;30585.0;15;17;7462;7593;7.603638E-5;0.8095238;0.7943368;0.0;0.0
9510.0;19.0;30471.0;10;17;7574;7589;5.5343407E-5;0.8947368;0.7964248;0.0;0.0
9515.0;12.0;30473.0;8;5;7595;7536;7.006481E-5;0.41666666;0.79821336;0.0;0.0
9448.0;15.0;30537.0;11;14;7511;7578;7.7617835E-5;0.93333334;0.7949831;0.0;0.0
9504.0;12.0;30484.0;15;10;7600;7566;1.3152357E-4;0.8333333;0.7996633;0.0;0.0
9455.0;17.0;30528.0;13;13;7534;7815;8.087847E-5;0.7647059;0.7968271;0.0;0.0
9723.0;17.0;30260.0;14;11;7760;7679;8.469911E-5;0.64705884;0.79810756;0.0;0.0
9628.0;20.0;30352.0;16;14;7739;7619;8.3090985E-5;0.7;0.8038014;0.0;0.0
9492.0;22.0;30486.0;14;15;7566;7714;6.70421E-5;0.6818182;0.79709226;0.0;0.0
9626.0;21.0;30353.0;11;16;7740;7690;5.4416116E-5;0.7619048;0.8040723;0.0;0.0
9565.0;16.0;30419.0;10;15;7608;7706;6.534239E-5;0.9375;0.7953999;0.0;0.0
9653.0;11.0;30336.0;9;8;7724;7749;8.475933E-5;0.72727275;0.8001658;0.0;0.0
9669.0;12.0;30319.0;11;10;7718;7669;9.48047E-5;0.8333333;0.7982211;0.0;0.0
9609.0;13.0;30378.0;11;11;7702;7676;8.805847E-5;0.84615386;0.8015402;0.0;0.0
9572.0;13.0;30415.0;11;11;7637;7744;8.8398854E-5;0.84615386;0.79784787;0.0;0.0
9668.0;13.0;30319.0;9;10;7826;7789;7.160816E-5;0.7692308;0.8094745;0.0;0.0
9622.0;12.0;30366.0;14;9;7684;7846;1.2124991E-4;0.75;0.79858655;0.0;0.0
9770.0;17.0;30213.0;12;13;7835;7957;7.224998E-5;0.7647059;0.80194473;0.0;0.0
9880.0;16.0;30104.0;8;12;7927;7859;5.0607287E-5;0.75;0.80232793;0.0;0.0
9804.0;12.0;30184.0;12;10;7876;7988;1.0199918E-4;0.8333333;0.80334556;0.0;0.0
9904.0;14.0;30082.0;13;12;7845;8010;9.375721E-5;0.85714287;0.7921042;0.0;0.0
10056.0;15.0;29929.0;13;13;8069;8027;8.618404E-5;0.8666667;0.80240655;0.0;0.0
